horarioData,cpuUsoFreq,cpuMaxFreq,cpuPorcUso,ramTotal,ramUso,ramPorcUso,dicosTotal,discoUso,discoPorcUso
26-02-2026 22:10:28,2501.0,2501.0,1.9,6129479680,5174243328,84.4,239467159552,212445343744,88.7
26-02-2026 22:10:31,2501.0,2501.0,8.6,6129479680,5162844160,84.2,239467159552,212445343744,88.7
26-02-2026 22:10:34,2501.0,2501.0,26.1,6129479680,5175812096,84.4,239467159552,212445343744,88.7
26-02-2026 22:10:37,2501.0,2501.0,3.1,6129479680,5135044608,83.8,239467159552,212445343744,88.7
26-02-2026 22:10:40,2501.0,2501.0,19.5,6129479680,4896841728,79.9,239467159552,212445343744,88.7
26-02-2026 22:10:43,2501.0,2501.0,0.4,6129479680,4903833600,80.0,239467159552,212445347840,88.7
26-02-2026 22:10:46,2501.0,2501.0,0.4,6129479680,4917342208,80.2,239467159552,212445347840,88.7
26-02-2026 22:10:49,2501.0,2501.0,1.6,6129479680,4917006336,80.2,239467159552,212445347840,88.7
26-02-2026 22:10:52,2501.0,2501.0,1.9,6129479680,4917153792,80.2,239467159552,212445347840,88.7
26-02-2026 22:10:55,2501.0,2501.0,1.9,6129479680,4917182464,80.2,239467159552,212445347840,88.7
26-02-2026 22:10:58,2501.0,2501.0,0.4,6129479680,4917403648,80.2,239467159552,212445347840,88.7
26-02-2026 22:11:01,2501.0,2501.0,10.5,6129479680,4937302016,80.6,239467159552,212445347840,88.7
26-02-2026 22:11:04,2501.0,2501.0,3.1,6129479680,4938616832,80.6,239467159552,212445347840,88.7
26-02-2026 22:11:07,2501.0,2501.0,1.5,6129479680,4956545024,80.9,239467159552,212445413376,88.7
26-02-2026 22:11:10,2501.0,2501.0,1.9,6129479680,4957790208,80.9,239467159552,212445675520,88.7
26-02-2026 22:11:13,2501.0,2501.0,3.9,6129479680,4960989184,80.9,239467159552,212445822976,88.7
26-02-2026 22:11:16,2501.0,2501.0,3.5,6129479680,4965085184,81.0,239467159552,212445822976,88.7
26-02-2026 22:11:19,2501.0,2501.0,3.1,6129479680,4966125568,81.0,239467159552,212445822976,88.7
26-02-2026 22:11:22,2501.0,2501.0,4.3,6129479680,4946370560,80.7,239467159552,212445822976,88.7
26-02-2026 22:11:25,2501.0,2501.0,1.2,6129479680,4943491072,80.7,239467159552,212445822976,88.7

26-02-2026 22:12:31,2501.0,2501.0,47.3,6129479680,5201006592,84.9,239467159552,212446363648,88.7
26-02-2026 22:12:34,2501.0,2501.0,76.1,6129479680,5168623616,84.3,239467159552,212446490624,88.7
26-02-2026 22:12:37,2501.0,2501.0,83.0,6129479680,5283373056,86.2,239467159552,212447350784,88.7
26-02-2026 22:12:41,2501.0,2501.0,68.9,6129479680,5218426880,85.1,239467159552,212449665024,88.7
26-02-2026 22:12:44,2501.0,2501.0,39.5,6129479680,5209063424,85.0,239467159552,212449730560,88.7
26-02-2026 22:12:47,2501.0,2501.0,26.2,6129479680,5184303104,84.6,239467159552,212449497088,88.7
26-02-2026 22:12:50,2501.0,2501.0,25.4,6129479680,5181456384,84.5,239467159552,212449501184,88.7
26-02-2026 22:12:53,2501.0,2501.0,25.4,6129479680,5180608512,84.5,239467159552,212449370112,88.7
26-02-2026 22:12:56,2501.0,2501.0,26.6,6129479680,5180272640,84.5,239467159552,212449370112,88.7
26-02-2026 22:12:59,2501.0,2501.0,25.8,6129479680,5154304000,84.1,239467159552,212449370112,88.7
26-02-2026 22:13:02,2501.0,2501.0,26.6,6129479680,5150609408,84.0,239467159552,212449370112,88.7
26-02-2026 22:13:05,2501.0,2501.0,30.5,6129479680,5130731520,83.7,239467159552,212449370112,88.7
26-02-2026 22:13:08,2501.0,2501.0,25.3,6129479680,5148639232,84.0,239467159552,212449423360,88.7
26-02-2026 22:13:11,2501.0,2501.0,26.6,6129479680,5120299008,83.5,239467159552,212449357824,88.7
26-02-2026 22:13:14,2501.0,2501.0,37.7,6129479680,5092204544,83.1,239467159552,212451979264,88.7
26-02-2026 22:13:17,2501.0,2501.0,59.0,6129479680,5156708352,84.1,239467159552,212451979264,88.7
26-02-2026 22:13:20,2501.0,2501.0,12.9,6129479680,5169078272,84.3,239467159552,212451979264,88.7
26-02-2026 22:13:23,2501.0,2501.0,20.2,6129479680,5174013952,84.4,239467159552,212451995648,88.7
26-02-2026 22:13:26,2501.0,2501.0,20.3,6129479680,5181370368,84.5,239467159552,212451995648,88.7
26-02-2026 22:13:29,2501.0,2501.0,34.6,6129479680,5176954880,84.5,239467159552,212452073472,88.7
26-02-2026 22:13:32,2501.0,2501.0,47.5,6129479680,5147443200,84.0,239467159552,212450123776,88.7
26-02-2026 22:13:35,2501.0,2501.0,6.6,6129479680,5164273664,84.3,239467159552,212450308096,88.7
26-02-2026 22:13:38,2501.0,2501.0,46.7,6129479680,5157470208,84.1,239467159552,212450299904,88.7
26-02-2026 22:13:41,2501.0,2501.0,31.9,6129479680,5235101696,85.4,239467159552,212451557376,88.7
26-02-2026 22:13:44,2501.0,2501.0,13.0,6129479680,5228904448,85.3,239467159552,212451557376,88.7
26-02-2026 22:13:47,2501.0,2501.0,2.0,6129479680,5220540416,85.2,239467159552,212451667968,88.7
26-02-2026 22:13:50,2501.0,2501.0,6.5,6129479680,5215551488,85.1,239467159552,212451667968,88.7
26-02-2026 22:13:53,2501.0,2501.0,66.3,6129479680,5243523072,85.5,239467159552,212451672064,88.7
26-02-2026 22:13:56,2501.0,2501.0,7.0,6129479680,5253865472,85.7,239467159552,212451672064,88.7
26-02-2026 22:13:59,2501.0,2501.0,37.7,6129479680,5254111232,85.7,239467159552,212451672064,88.7
26-02-2026 22:14:02,2501.0,2501.0,5.1,6129479680,5265035264,85.9,239467159552,212451868672,88.7
26-02-2026 22:14:05,2501.0,2501.0,18.5,6129479680,5279834112,86.1,239467159552,212451803136,88.7
26-02-2026 22:14:08,2501.0,2501.0,16.3,6129479680,5294624768,86.4,239467159552,212451803136,88.7
26-02-2026 22:14:11,2501.0,2501.0,48.6,6129479680,5301985280,86.5,239467159552,212459241472,88.7
26-02-2026 22:14:14,2501.0,2501.0,42.0,6129479680,5312995328,86.7,239467159552,212459257856,88.7
26-02-2026 22:14:17,2501.0,2501.0,29.6,6129479680,5311250432,86.7,239467159552,212459319296,88.7
26-02-2026 22:14:20,2501.0,2501.0,36.2,6129479680,5317304320,86.7,239467159552,212459315200,88.7
26-02-2026 22:14:23,2501.0,2501.0,42.0,6129479680,5302296576,86.5,239467159552,212459315200,88.7
26-02-2026 22:14:26,2501.0,2501.0,43.0,6129479680,5274910720,86.1,239467159552,212459315200,88.7
26-02-2026 22:14:29,2501.0,2501.0,69.4,6129479680,5274669056,86.1,239467159552,212459315200,88.7
26-02-2026 22:14:32,2501.0,2501.0,57.0,6129479680,5280972800,86.2,239467159552,212459839488,88.7
26-02-2026 22:14:35,2501.0,2501.0,58.9,6129479680,5261869056,85.8,239467159552,212459839488,88.7
26-02-2026 22:14:38,2501.0,2501.0,68.2,6129479680,5261160448,85.8,239467159552,212461301760,88.7
26-02-2026 22:14:41,2501.0,2501.0,16.6,6129479680,5263855616,85.9,239467159552,212461301760,88.7
26-02-2026 22:14:44,2501.0,2501.0,61.9,6129479680,5268557824,86.0,239467159552,212461293568,88.7
26-02-2026 22:14:47,2501.0,2501.0,29.4,6129479680,5281624064,86.2,239467159552,212461146112,88.7
26-02-2026 22:14:50,2501.0,2501.0,20.9,6129479680,5267628032,85.9,239467159552,212461146112,88.7
26-02-2026 22:14:53,2501.0,2501.0,15.9,6129479680,5285769216,86.2,239467159552,212461211648,88.7
26-02-2026 22:14:56,2501.0,2501.0,12.1,6129479680,5266522112,85.9,239467159552,212461211648,88.7
26-02-2026 22:14:59,2501.0,2501.0,15.5,6129479680,5271330816,86.0,239467159552,212461211648,88.7
26-02-2026 22:15:02,2501.0,2501.0,84.4,6129479680,5300559872,86.5,239467159552,212461211648,88.7
26-02-2026 22:15:05,2501.0,2501.0,67.4,6129479680,5304082432,86.5,239467159552,212461277184,88.7
26-02-2026 22:15:08,2501.0,2501.0,98.2,6129479680,5373452288,87.7,239467159552,212461477888,88.7
26-02-2026 22:15:11,2501.0,2501.0,31.6,6129479680,5369606144,87.6,239467159552,212461543424,88.7
26-02-2026 22:15:14,2501.0,2501.0,55.6,6129479680,5350043648,87.3,239467159552,212461608960,88.7
26-02-2026 22:15:17,2501.0,2501.0,56.6,6129479680,5366054912,87.5,239467159552,212461608960,88.7
26-02-2026 22:15:20,2501.0,2501.0,57.4,6129479680,5365174272,87.5,239467159552,212461608960,88.7
